Product Local Name,Visa IDX - 45672555,Visa IDX  - 4567255,Visa IDX 1.4% - 45672557,Total Visa IDX products,Visa Business Prepaid - 44260108,Visa Corporate Deferred Debit  - 49359119,Visa Business Immediate Debit - BIN: 45672554
On-Us Payments Count - Month 1,0,0,0,0,0,0,0
On-Us Payments Count - Month 2,0,0,0,0,0,0,0
On-Us Payments Count - Month 3,0,0,0,0,0,0,0
On-Us Payments Volume - Month 1,0,0,0,0,0,0,0
On-Us Payments Volume - Month 2,0,0,0,0,0,0,0
On-Us Payments Volume - Month 3,0,0,0,0,0,0,0
On-Us Account Funding Transaction Count - Month 1,0,0,0,0,0,0,0
On-Us Account Funding Transaction Count - Month 2,0,0,0,0,0,0,0
On-Us Account Funding Transaction Count - Month 3,0,0,0,0,0,0,0
On-Us Account Funding Transaction Volume - Month 1,0,0,0,0,0,0,0
On-Us Account Funding Transaction Volume - Month 2,0,0,0,0,0,0,0
On-Us Account Funding Transaction Volume - Month 3,0,0,0,0,0,0,0
On-Us Original Credits Count - Month 1,0,0,0,0,0,0,0
On-Us Original Credits Count - Month 2,0,0,0,0,0,0,0
On-Us Original Credits Count - Month 3,0,0,0,0,0,0,0
On-Us Original Credits Volume - Month 1,0,0,0,0,0,0,0
On-Us Original Credits Volume - Month 2,0,0,0,0,0,0,0
On-Us Original Credits Volume - Month 3,0,0,0,0,0,0,0
On-Us ATM Cash Advances Count - Month 1,0,0,0,0,0,0,0
On-Us ATM Cash Advances Count - Month 2,0,0,0,0,0,0,0
On-Us ATM Cash Advances Count - Month 3,0,0,0,0,0,0,0
On-Us ATM Cash Advances Volume - Month 1,0,0,0,0,0,0,0
On-Us ATM Cash Advances Volume - Month 2,0,0,0,0,0,0,0
On-Us ATM Cash Advances Volume - Month 3,0,0,0,0,0,0,0
On-Us Manual Cash Count - Month 1,0,0,0,0,0,0,0
On-Us Manual Cash Count - Month 2,0,0,0,0,0,0,0
On-Us Manual Cash Count - Month 3,0,0,0,0,0,0,0
On-Us Manual Cash Volume - Month 1,0,0,0,0,0,0,0
On-Us Manual Cash Volume - Month 2,0,0,0,0,0,0,0
On-Us Manual Cash Volume - Month 3,0,0,0,0,0,0,0
On-Us Cashback Count - Month 1,0,0,0,0,0,0,0
On-Us Cashback Count - Month 2,0,0,0,0,0,0,0
On-Us Cashback Count - Month 3,0,0,0,0,0,0,0
On-Us Cashback Volume - Month 1,0,0,0,0,0,0,0
On-Us Cashback Volume - Month 2,0,0,0,0,0,0,0
On-Us Cashback Volume - Month 3,0,0,0,0,0,0,0
National Payments Count - Month 1,0,0,0,999,0,0,0
National Payments Count - Month 2,0,0,0,999,0,0,0
National Payments Count - Month 3,0,0,0,999,0,0,0
National Payments Volume - Month 1,0,0,0,999,0,0,0
National Payments Volume - Month 2,0,0,0,999,0,0,0
National Payments Volume - Month 3,0,0,0,999,0,0,0
National Account Funding Transaction Count - Month 1,0,0,0,0,0,0,0
National Account Funding Transaction Count - Month 2,0,0,0,0,0,0,0
National Account Funding Transaction Count - Month 3,0,0,0,0,0,0,0
National Account Funding Transaction Volume - Month 1,0,0,0,0,0,0,0
National Account Funding Transaction Volume - Month 2,0,0,0,0,0,0,0
National Account Funding Transaction Volume - Month 3,0,0,0,0,0,0,0
National Original Credits Count - Month 1,0,0,0,0,0,0,0
National Original Credits Count - Month 2,0,0,0,0,0,0,0
National Original Credits Count - Month 3,0,0,0,0,0,0,0
National Original Credits Volume - Month 1,0,0,0,0,0,0,0
National Original Credits Volume - Month 2,0,0,0,0,0,0,0
National Original Credits Volume - Month 3,0,0,0,0,0,0,0
National ATM Cash Advances Count - Month 1,0,0,0,0,0,0,0
National ATM Cash Advances Count - Month 2,0,0,0,0,0,0,0
National ATM Cash Advances Count - Month 3,0,0,0,0,0,0,0
National ATM Cash Advances Volume - Month 1,0,0,0,0,0,0,0
National ATM Cash Advances Volume - Month 2,0,0,0,0,0,0,0
National ATM Cash Advances Volume - Month 3,0,0,0,0,0,0,0
National Manual Cash Count - Month 1,0,0,0,0,0,0,0
National Manual Cash Count - Month 2,0,0,0,0,0,0,0
National Manual Cash Count - Month 3,0,0,0,0,0,0,0
National Manual Cash Volume - Month 1,0,0,0,0,0,0,0
National Manual Cash Volume - Month 2,0,0,0,0,0,0,0
National Manual Cash Volume - Month 3,0,0,0,0,0,0,0
National Cashback Count - Month 1,0,0,0,0,0,0,0
National Cashback Count - Month 2,0,0,0,0,0,0,0
National Cashback Count - Month 3,0,0,0,0,0,0,0
National Cashback Volume - Month 1,0,0,0,0,0,0,0
National Cashback Volume - Month 2,0,0,0,0,0,0,0
